x: 0, y: 0Vx: 0, Vy: 0time0
x: 5e-05, y: 5e-05Vx: 0.01, Vy: 0.01time0.01
x: 0.0002, y: 0.0002Vx: 0.02, Vy: 0.02time0.02
x: 0.00045, y: 0.00045Vx: 0.03, Vy: 0.03time0.03
x: 0.0008, y: 0.0008Vx: 0.04, Vy: 0.04time0.04
x: 0.00125, y: 0.00125Vx: 0.05, Vy: 0.05time0.05
x: 0.0018, y: 0.0018Vx: 0.06, Vy: 0.06time0.06
x: 0.00245, y: 0.00245Vx: 0.07, Vy: 0.07time0.07
x: 0.0032, y: 0.0032Vx: 0.08, Vy: 0.08time0.08
x: 0.00405, y: 0.00405Vx: 0.09, Vy: 0.09time0.09
x: 0.005, y: 0.005Vx: 0.1, Vy: 0.1time0.1
x: 0.00605, y: 0.00605Vx: 0.11, Vy: 0.11time0.11
x: 0.0072, y: 0.0072Vx: 0.12, Vy: 0.12time0.12
x: 0.00845, y: 0.00845Vx: 0.13, Vy: 0.13time0.13
x: 0.0098, y: 0.0098Vx: 0.14, Vy: 0.14time0.14
x: 0.01125, y: 0.01125Vx: 0.15, Vy: 0.15time0.15
x: 0.0128, y: 0.0128Vx: 0.16, Vy: 0.16time0.16
x: 0.01445, y: 0.01445Vx: 0.17, Vy: 0.17time0.17
x: 0.0162, y: 0.0162Vx: 0.18, Vy: 0.18time0.18
x: 0.01805, y: 0.01805Vx: 0.19, Vy: 0.19time0.19
x: 0.02, y: 0.02Vx: 0.2, Vy: 0.2time0.2
x: 0.02205, y: 0.02205Vx: 0.21, Vy: 0.21time0.21
x: 0.0242, y: 0.0242Vx: 0.22, Vy: 0.22time0.22
x: 0.02645, y: 0.02645Vx: 0.23, Vy: 0.23time0.23
x: 0.0288, y: 0.0288Vx: 0.24, Vy: 0.24time0.24
x: 0.03125, y: 0.03125Vx: 0.25, Vy: 0.25time0.25
x: 0.0338, y: 0.0338Vx: 0.26, Vy: 0.26time0.26
x: 0.03645, y: 0.03645Vx: 0.27, Vy: 0.27time0.27
x: 0.0391903, y: 0.0392Vx: 0.27788, Vy: 0.28time0.28
x: 0.0420075, y: 0.04205Vx: 0.285553, Vy: 0.29time0.29
x: 0.0449014, y: 0.045Vx: 0.293227, Vy: 0.3time0.3
x: 0.047872, y: 0.04805Vx: 0.3009, Vy: 0.31time0.31
x: 0.0509194, y: 0.0512Vx: 0.308573, Vy: 0.32time0.32
x: 0.0540435, y: 0.05445Vx: 0.316246, Vy: 0.33time0.33
x: 0.0572393, y: 0.0578Vx: 0.322037, Vy: 0.34time0.34
